id,answer
248,Borders organised
249,Dar es
250,in Beijing
251,Libération commented
252,heckled Chan
253,published on
254,avoid the
255,days prior
256,: The
257,"1 ,"
258,teams of
259,n't know
260,was not
261,Musharraf and
262,was not
263,at the
264,both for
265,place outside
266,could not
267,What a
268,: The
269,Oman :
270,the Tibetan
271,the first
272,has visited
273,", chairman"
274,also began
275,"3,000 French"
276,the city
277,to the
278,was not
279,resident was
280,", Green"
281,published on
282,"2008 ,"
283,arrived in
284,"protests ,"
285,who is
286,: The
287,", students"
288,Borders organised
289,media have
290,"16 ,"
291,have assurances
292,The torch
293,place outside
294,the torchbearers
295,flag was
296,"20 ,"
297,officials had
298,"7 ,"
299,", the"
300,The event
301,canceled the
302,as it
303,relay through
304,", the"
305,descended into
306,closing ceremony
307,flag was
308,Member of
309,Lin Hatfield
310,traveled a
311,", head"
312,and cyberctm.com
313,of Parliament
314,already requested
315,: The
316,several protests
317,was not
318,also began
319,of 120
320,football captain
321,relay saw
322,end of
323,What a
324,: The
325,time an
326,Olympic Organizing
327,praise from
328,is designed
329,What a
330,was not
331,was at
332,The April
333,The first
334,closing ceremony
335,", also"
336,ambassador carried
337,"1 ,"
338,What a
339,is frequently
340,The Olympic
341,"as 1,000"
342,600 pro-Tibet
343,"Phiếu ,"
344,of America
345,Flame is
346,The event
347,CCTV quoted
348,media reported
349,officials had
350,The event
351,Torch is
352,'s Paul
353,Western equal
354,number of
355,closely related
356,a linear
357,"words ,"
358,semitone is
359,is such
360,", ``"
361,one model
362,an important
363,of these
364,Western equal
365,not the
366,a linear
367,of musical
368,generated on
369,of pitch
370,", a"
371,ITV franchise
372,Southampton Boat
373,of Southampton
374,provides for
375,2007 there
376,a sizeable
377,'s Register
378,also home
379,a number
380,Embarkation port
381,from 840
382,motorway links
383,Test runs
384,from 840
385,to 2001
386,many innovative
387,of the
388,three members
389,"2,000 took"
390,was Phase
391,Southampton Boat
392,2001 census
393,has a
394,large portion
395,is ranked
396,of Southampton
397,and Royal
398,Solent is
399,Southampton Boat
400,are held
401,Southampton Boat
402,", Southampton"
403,of 12th
404,latter half
405,"2014 ,"
406,was known
407,was built
408,took place
409,King Henry
410,formed a
411,walls include
412,Middle Ages
413,crier from
414,has the
415,", it"
416,officially changed
417,been revealed
418,"2,000 took"
419,five of
420,to London
421,of Southampton
422,"2014 ,"
423,Docks date
424,also run
425,walls include
426,Docks date
427,Southampton in
428,for every
429,held the
430,is home
431,not caused
432,of Southampton
433,Terminals first
434,a Port
435,establishment of
436,Norman Conquest
437,2006 survey
438,is processed
439,three members
440,"i/saʊθˈæmptən ,"
441,2001 census
442,flights to
443,Alexandra Dock
444,majority of
445,'s name
446,times of
447,two large
448,are held
449,West Quay
450,a quarter
451,ferry is
452,Charter in
453,is the
454,provide the
455,the top
456,remains part
457,specifically for
458,announced by
459,also has
460,formed a
461,services operate
462,two large
463,also home
464,Solent is
465,has headquarters
466,of the
467,offers a
468,was known
469,", it"
470,remains of
471,Southampton NHS
472,the other
473,2004 figures
474,officially changed
475,is ranked
476,government figures
477,"motorway ,"
478,", Junk"
479,services also
480,is home
481,times of
482,was built
483,rebuilding—part of
484,subsequently the
485,crier from
486,remains of
487,from this
488,three fire
489,", Southampton"
490,many innovative
491,motorway is
492,largest retail
493,is the
494,Norman Conquest
495,is now
496,has the
497,also plans
498,was built
499,a Port
500,a quarter
501,station in
502,age range
503,are in
504,additional police
505,a quarter
506,King Henry
507,to London
508,owns and
509,is the
510,a quarter
511,also the
512,had resident
513,of Southampton
514,a major
515,at the
516,Terminals first
517,of Swaythling
518,announced by
519,of Cambridge
520,the world
521,hockey club
522,a large
523,rates three
524,still active
525,", Southampton"
526,towers proposed
527,to London
528,port was
529,of the
530,1854 book
531,2015 council
532,", Southampton"
533,'s 18th
534,has the
535,and economic
536,was built
537,King Henry
538,"bridge ,"
539,suggest that
540,and 2004
541,Council has
542,and Royal
543,former player
544,formed a
545,police service
546,Museum is
547,Southampton NHS
548,at the
549,", the"
550,of Southampton
551,Docks company
552,local Sunday
553,granted use
554,is a
555,is home
556,Embarkation port
557,been used
558,towers proposed
559,took place
560,is no
561,local Sunday
562,"2,000 took"
563,to London
564,local hospital
565,been extensive
566,is no
567,lost their
568,is home
569,was the
570,", which"
571,remnants of
572,", R"
573,incarnations of
574,part of
575,congestion in
576,Council has
577,also runners-up
578,Cricket Club
579,awarded The
580,from this
581,Hampshire Constabulary
582,home to
583,of Southampton
584,remains home
585,"2007 ,"
586,formed a
587,February 1964
588,been used
589,'s name
590,2007 there
591,Charter in
592,three fire
593,1854 book
594,King Henry
595,Council consists
596,hockey club
597,stations broadcasting
598,some controversy
599,Council expects
600,also become
601,has undergone
602,Council expects
603,named ``
604,Southampton NHS
605,has undergone
606,formed a
607,of the
608,", which"
609,addition of
610,'s Bargate
611,offers a
612,and 793rd
613,also served
614,2001 census
615,a Port
616,has the
617,charter of
618,area is
619,1838 the
620,hockey club
621,Eastern Docks
622,Cricket Club
623,granted use
624,lost their
625,were completed
626,the Government
627,advanced as
628,'s name
629,is bridged
630,rates three
631,centre is
632,of Southampton
633,crier from
634,remains of
635,to 2001
636,to London
637,was sacked
638,funded by
639,also central
640,was known
641,held the
642,granted use
643,is home
644,Norman Conquest
645,at the
646,is now
647,also a
648,is a
649,addition of
650,of Southampton
651,2006 survey
652,2001 census
653,latter half
654,"2014 ,"
655,and 2004
656,King Henry
657,follows a
658,", Junk"
659,West Quay
660,link to
661,"2014 ,"
662,largest retail
663,"2007 ,"
664,includes Hawthorns
665,bus operators
666,local Sunday
667,from this
668,three members
669,from this
670,College is
671,is a
672,the rest
673,formed a
674,has a
675,hockey club
676,at the
677,age range
678,", Junk"
679,was the
680,remnants of
681,a major
682,Spitfire was
683,ITV franchise
684,", which"
685,lies at
686,King Henry
687,motorway links
688,from this
689,held the
690,to London
691,local Sunday
692,flights to
693,police service
694,"these ,"
695,hockey club
696,of Southampton
697,Georgian architecture
698,by Enterprise
699,Charter in
700,establishment of
701,are very
702,defended by
703,strong economy
704,a tram
705,at the
706,'s famous
707,a spa
708,announced by
709,received half
710,for new
711,advanced as
712,remains part
713,formed a
714,"119,500 males"
715,well supported
716,large majority
717,Saadia Gaon
718,", a"
719,late Middle
720,regardless of
721,", a"
722,have argued
723,most people
724,"emancipation ,"
725,identify the
726,that the
727,essay on
728,to why
729,on Ashkenazim
730,large majority
731,estimated that
732,essay on
733,", a"
734,Sepharadim and
735,Jewish population
736,were denied
737,"issues ,"
738,Midrash compilation
739,", a"
740,people have
741,to the
742,make up
743,led to
744,also observed
745,estimated 8.8
746,Jews living
747,Rhineland to
748,and Germany
749,the Jews
750,"years ,"
751,have made
752,", which"
753,16th-century mystic
754,onset of
755,close links
756,also report
757,Ashkenazi descent
758,an Ashkenazi
759,leshon Ashkenaz
760,Jewish people
761,both their
762,expelled its
763,the Y-chromosome
764,with the
765,and Germany
766,Jewish people
767,ethnic sense
768,Rhineland to
769,record attests
770,period and
771,well supported
772,late Middle
773,study estimated
774,is the
775,was ceded
776,estimated that
777,course of
778,Jews lived
779,of Berechiah
780,also found
781,trans-genome study
782,five thousand
783,have won
784,have Minhagim
785,also report
786,genetic study
787,nevertheless agree
788,make up
789,onset of
790,of German
791,the knights
792,as a
793,in a
794,Yoma tractate
795,with the
796,Saadia Gaon
797,replaced Yiddish
798,historian Herodotus
799,historian Herodotus
800,11th century
801,Ashkenazi derives
802,first decades
803,in a
804,large majority
805,needed ]
806,Ashkenazi derives
807,study estimated
808,found that
809,an Ashkenazi
810,make up
811,also effectively
812,is usually
813,Ashkenazi also
814,Jews moved
815,in 2002
816,with the
817,carriers of
818,historian Herodotus
819,were denied
820,first half
821,major forms
822,estimated 8.8
823,Midrash compilation
824,", which"
825,", John"
826,the motion
827,would be
828,this resonance
829,in flow
830,slowly moves
831,right to
832,quadrupole moment
833,the earliest
834,17 times
835,", ``"
836,dark spots
837,", it"
838,and Saturn
839,"Uranus ,"
840,"Uranus ,"
841,subsequently observed
842,the same
843,discovered by
844,Voyager 2
845,July 2011
846,] Its
847,right to
848,"Uranus ,"
849,heavily populated
850,resembles Uranus
851,with dark
852,is another
853,on Neptune
854,was the
855,on Neptune
856,is the
857,can be
858,that remain
859,", John"
860,the winds
861,is the
862,"Uranus ,"
863,would be
864,wake of
865,'s closest
866,belongs only
867,right to
868,", Alexis"
869,the largest
870,`` hot
871,clouds lie
872,realised that
873,and so
874,may dissipate
875,the documents
876,more varied
877,main rings
878,age of
879,dark spots
880,most widely
881,on Neptune
882,more recent
883,can be
884,2 's
885,"Uranus ,"
886,", the"
887,", the"
888,evening of
889,that Neptune
890,was the
891,14 known
892,like Uranus
893,heavily populated
894,main rings
895,concept is
896,2 's
897,bands have
898,'s atmospheric
899,on Neptune
900,of the
901,was discovered
902,had been
903,not occur
904,are stable
905,more varied
906,`` hot
907,17 times
908,backward motion
909,suggest that
910,scientifically useful
911,customary in
912,cloud tops
913,"out ,"
914,relayed back
915,has a
916,are gravity
917,more varied
918,to Kant
919,Hobbes and
920,took over
921,be any
922,pointed out
923,considered folk
924,Theory posits
925,pointed out
926,United States
927,Romantic era
928,", after"
929,of the
930,contrasted ``
931,Theory posits
932,( 1724–1804
933,1970s onward
934,arose with
935,United States
936,innovations theory
937,", the"
938,version of
939,since become
940,Borrowing ''
941,", Justice"
942,metaphor of
943,v. Kurtzman
944,nonconformists like
945,"dissenter ,"
946,was ``
947,decision (
948,on the
949,"scholars ,"
950,Remonstrance shows
951,freedom resulted
952,v. Vitale
953,debate over
954,"20 ,"
955,`` [
956,Ryan argue
957,"scholars ,"
958,letter entered
959,concept of
960,: The
961,'s decision
962,also opponents
963,"20 ,"
964,Wood has
965,v. Kurtzman
966,", the"
967,", the"
968,recent case
969,original draft
970,Ryan argue
971,'s influential
972,of the
973,"dissenter ,"
974,"point ,"
975,immigrant groups
976,the statute
977,will be
978,was later
979,"time ,"
980,v. United
981,principled debate
982,religious society
983,'s influential
984,or the
985,motto ``
986,needed ]
987,court ruling
988,", a"
989,", Isaac"
990,`` [
991,this decision
992,is that
993,to the
994,the principle
995,", however"
996,article analyzes
997,as Rep.
998,such as
999,"20 ,"
1000,was signed
1001,concept of
1002,'s influential
1003,Madison 's
1004,beliefs of
1005,Strongly guarded
1006,"consequence ,"
1007,letter entered
1008,were held
1009,opponents said
1010,to issue
1011,a five-justice
1012,: in
1013,v. Arkansas
1014,such as
1015,", a"
1016,metaphor of
1017,Umayyad Dynasty
1018,mosaics of
1019,Venetian mosaics
1020,of Spoleto
1021,", near"
1022,survived from
1023,of Martyrius
1024,survived from
1025,mosaic is
1026,5th-century apse
1027,mosaics had
1028,the Grand
1029,of the
1030,Venetian mosaics
1031,remains of
1032,`` little
1033,prominent artist
1034,scenes were
1035,putti in
1036,era mosaics
1037,was laid
1038,depicting Roger
1039,applied face-down
1040,of mosaics
1041,theme is
1042,church of
1043,human figure
1044,with a
1045,of Monte
1046,Elder mentions
1047,communities of
1048,building in
1049,of mosaic
1050,similar crosses
1051,most important
1052,"mosaic ,"
1053,the tesserae
1054,well preserved
1055,important one
1056,its many
1057,was also
1058,of Galla
1059,of redecoration
1060,of the
1061,Ravenna was
1062,Basilica of
1063,very similar
1064,small shrine
1065,only church
1066,synagogue with
1067,vandal systematically
1068,technique was
1069,kings adopted
1070,in the
1071,building established
1072,of the
1073,churches were
1074,the best
1075,( in
1076,", the"
1077,in Eshtemoa
1078,of the
1079,used mosaic
1080,represented by
1081,an interesting
1082,desert residence
1083,were made
1084,rediscovered in
1085,Moni Monastery
1086,and Egypt
1087,panel on
1088,Moni Monastery
1089,of the
1090,mosaics could
1091,mosaic of
1092,icons the
1093,of the
1094,technical innovation
1095,( in
1096,", the"
1097,reflects an
1098,scroll motifs
1099,important early
1100,served as
1101,of Byzantine
1102,that owe
1103,"inscriptions ,"
1104,with her
1105,Navicella mosaic
1106,much of
1107,villa rustica
1108,the Fabbrica
1109,in Khirbet
1110,I (
1111,church (
1112,of the
1113,prominent artist
1114,variety of
1115,preserved mosaic
1116,made between
1117,out of
1118,remains do
1119,"mosaic ,"
1120,was probably
1121,Tomb of
1122,Venetian mosaics
1123,the Zliten
1124,Basilica of
1125,important early
1126,in the
1127,similar crosses
1128,villa rustica
1129,of Byzantine
1130,be greater
1131,all destroyed
1132,being assembled
1133,mosaic works
1134,Moni Monastery
1135,an area
1136,remains do
1137,panel on
1138,very few
1139,of the
1140,in Eshtemoa
1141,in Khirbet
1142,pavement of
1143,with Osios
1144,of Martyrius
1145,seems that
1146,an area
1147,undertaking by
1148,very similar
1149,era mosaics
1150,apse mosaic
1151,built mainly
1152,the Fabbrica
1153,of Saint-Martial
1154,5th-century Ravenna
1155,Iconoclastic era
1156,a long
1157,surviving panels
1158,indirect method
1159,interior of
1160,native as
1161,and Egypt
1162,of Saint-Martial
1163,( in
1164,", Nero"
1165,of mosaic
1166,( in
1167,mosaics of
1168,Gate of
1169,pebble mosaics
1170,Moni Monastery
1171,important pieces
1172,floors are
1173,returned in
1174,are practised
1175,education system
1176,city is
1177,considered to
1178,consensus that
1179,rice production
1180,considered to
1181,objected to
1182,the worst
1183,2012 the
1184,same time
1185,is most
1186,first time
1187,ethnic minority
1188,names are
1189,names are
1190,killed thousands
1191,crackdown against
1192,16th century
1193,"1,930 km"
1194,landmark 2015
1195,conquered Myanmar
1196,considered to
1197,list of
1198,"west ,"
1199,considered to
1200,education system
1201,became the
1202,influences are
1203,be held
1204,to be
1205,venerated and
1206,shows that
1207,preoccupied by
1208,to be
1209,", agricultural"
1210,is most
1211,considered to
1212,city is
1213,"battleground ,"
1214,to you
1215,introduced religious
1216,along these
1217,administrative secretariats
1218,common law
1219,", patent"
1220,protection or
1221,the term
1222,these lines
1223,the General
1224,the United
1225,assumption that
1226,has had
1227,", writer"
1228,of intellectual
1229,Foundation founder
1230,Foundation founder
1231,of the
1232,"countries ,"
1233,excludes any
1234,typically is
1235,typically is
1236,"BCE ,"
1237,United States
1238,context of
1239,the term
1240,", French"
1241,safe harbor
1242,along these
1243,excludes any
1244,safe harbor
1245,can be
1246,be addressed
1247,is a
1248,these lines
1249,administrative secretariats
1250,"TRIPs ,"
1251,to copyright
1252,is created
1253,Industry Association
1254,referring to
1255,has objected
1256,'s awareness
1257,context of
1258,common law
1259,context of
1260,developments in
1261,that ``
1262,trade agreement
1263,are Article
1264,misappropriation is
1265,the UN
1266,can be
1267,", patent"
1268,administrative secretariats
1269,"BCE ,"
1270,these lines
1271,objective of
1272,respect to
1273,"UK ,"
1274,occurs when
1275,in 2013
1276,these lines
1277,native cultures
1278,of intellectual
1279,briefs in
1280,native cultures
1281,that the
1282,of intellectual
1283,be addressed
1284,assumption that
1285,that ``
1286,promoted the
1287,"shelling ,"
1288,planned to
1289,Greece becomes
1290,center the
1291,granted a
1292,conquered these
1293,War also
1294,did nothing
1295,time the
1296,wanted to
1297,responded with
1298,July 1854
1299,opened in
1300,July 1854
1301,Omar Pasha
1302,north Eristov
1303,spring of
1304,would continue
1305,as a
1306,a more
1307,"1855 ,"
1308,local commanders
1309,"March ,"
1310,1855 a
1311,wanted to
1312,"Cavour ,"
1313,"siege ,"
1314,center the
1315,August Russian
1316,War also
1317,and French
1318,of the
1319,was [
1320,Cowley wrote
1321,at the
1322,"1853 ,"
1323,advanced and
1324,"Cavour ,"
1325,Ottomans demanded
1326,September he
1327,Kars :
1328,was strong
1329,"1854 ,"
1330,the Russian
1331,promoted the
1332,dates modern
1333,commanders ignored
1334,evacuation of
1335,July 1855
1336,"March ,"
1337,siege attempt
1338,200 years
1339,December 1853
1340,most influential
1341,the coalition
1342,being brought
1343,the Russians
1344,abandoned its
1345,local commanders
1346,came on
1347,relented in
1348,was agreed
1349,Georgian coast
1350,with the
1351,passed a
1352,concerned about
1353,1855 a
1354,the Russian
1355,to mediate
1356,up his
1357,was officially
1358,was officially
1359,start of
1360,Greece did
1361,French extended
1362,", 21"
1363,did nothing
1364,in the
1365,fleet left
1366,French extended
1367,the United
1368,", a"
1369,was [
1370,after attempting
1371,did nothing
1372,was [
1373,"west ,"
1374,for professionalization
1375,the heavy
1376,spring of
1377,were defeated
1378,of the
1379,did nothing
1380,local commanders
1381,Tsar next
1382,March 1854
1383,of Paris
1384,of the
1385,when the
1386,far south
1387,army relocated
1388,resulting battle
1389,November a
1390,Brigade was
1391,was finally
1392,"1853 ,"
1393,the Russians
1394,Electrical telegraph
1395,"Cavour ,"
1396,campaign opened
1397,200 years
1398,of Moldavia
1399,responded with
1400,Ottoman ultimatum
1401,the Russians
1402,wanted to
1403,Russian assault
1404,time the
1405,up his
1406,UK and
1407,little additional
1408,British laid
1409,the Russians
1410,army lost
1411,fleet during
1412,now decided
1413,"1853 ,"
1414,of Paris
1415,time the
1416,"1854 ,"
1417,that the
1418,accepted the
1419,Greece did
1420,of the
1421,of 'diplomatic
1422,in the
1423,met with
1424,start of
1425,escaped under
1426,little additional
1427,an ultimatum
1428,"1855 ,"
1429,", 21"
1430,May 1855
1431,was strong
1432,1854 an
1433,spring of
1434,of Giurgiu
1435,France abandoned
1436,"1853 ,"
1437,army lost
1438,Greece did
1439,"that ,"
1440,losing Russian
1441,terms arrived
1442,wanted to
1443,"1853 ,"
1444,spring of
1445,May 1855
1446,", war"
1447,"siege ,"
1448,September he
1449,did nothing
1450,Tsar next
1451,1854 an
1452,ships then
1453,attracted little
1454,came on
1455,sailed in
1456,did nothing
1457,", France"
1458,War marked
1459,he learned
1460,was officially
1461,terms arrived
1462,was [
1463,October the
1464,wanted to
1465,gambling on
1466,pushed about
1467,a Russian
1468,were reduced
1469,"west ,"
1470,came on
1471,evacuated Wallachia
1472,8000 Turks
1473,did nothing
1474,the first
1475,Greece did
1476,"March ,"
1477,the heavy
1478,the heavy
1479,Marquis Charles
1480,in January
1481,was officially
1482,previously obtained
1483,south about
1484,was weak
1485,of Royal
1486,events elsewhere
1487,counterattacked on
1488,opened in
1489,the decision
1490,helped the
1491,wanted to
1492,did nothing
1493,came on
1494,"1853 ,"
1495,the telegraph
1496,counterattacked on
1497,were considered
1498,Emperor once
1499,long reign
1500,showed that
1501,were at
1502,came to
1503,the Chinese
1504,may have
1505,came to
1506,came to
1507,not only
1508,from Empress
1509,remaining part
1510,eight regional
1511,to become
1512,", local"
1513,Ming dynasty
1514,war on
1515,sent Han
1516,came to
1517,Ming dynasty
1518,Dorgon allied
1519,had no
1520,Opium War
1521,doubled during
1522,contenders for
1523,total of
1524,turned to
1525,", peasant"
1526,", Britain"
1527,Han defected
1528,Emperor sponsored
1529,Army was
1530,had to
1531,Tongzhi Emperor
1532,made up
1533,Yongzheng bestowed
1534,Kangxi Emperor
1535,", peasant"
1536,officials fought
1537,had no
1538,First Sino-Japanese
1539,the Taiping
1540,turned to
1541,Tongzhi Emperor
1542,Rebellion in
1543,came to
1544,Tongzhi Emperor
1545,", Qing"
1546,Emperor was
1547,'s strategy
1548,Rebellion (
1549,", peasant"
1550,the 18th
1551,had to
1552,rule saw
1553,doubled during
1554,had to
1555,Banners were
1556,organization of
1557,preceded by
1558,this period
1559,originally 18
1560,", during"
1561,the last
1562,serve them
1563,from Empress
1564,invasion of
1565,Ming ruler
1566,Tongzhi Emperor
1567,doubled during
1568,agreed not
1569,", bordered"
1570,turned to
1571,death of
1572,succeeded by
1573,year reign
1574,"response ,"
1575,this period
1576,Hong Xiuquan
1577,Han Chinese
1578,Jurchens had
1579,were also
1580,'s bureaucracy
1581,turned to
1582,also put
1583,was the
1584,invasion by
1585,sent Han
1586,First Sino-Japanese
1587,"powers ,"
1588,painting remained
1589,were collectively
1590,managed textile
1591,Rebellion in
1592,and Bannermen
1593,"powers ,"
1594,imagery of
1595,princes had
1596,began with
1597,the Board
1598,sent Han
1599,Revolt of
1600,for promises
1601,eventually killed
1602,to become
1603,came to
1604,organization of
1605,promising start
1606,he promoted
1607,Qianlong Emperor
1608,eventually killed
1609,", less"
1610,Standard Army
1611,their Ming
1612,Liaodong Han
1613,Ming capital
1614,court responded
1615,significant fact
1616,Beijing in
1617,promising start
1618,the Cochinchina
1619,held high
1620,had been
1621,soon began
1622,of the
1623,preceded by
1624,city wall
1625,doubled during
1626,this cabinet
1627,", the"
1628,surrender in
1629,Emperor sponsored
1630,succeeded by
1631,Tongzhi Emperor
1632,long reign
1633,divided the
1634,Jurchens had
1635,outbreak of
1636,long reign
1637,fully opened
1638,most of
1639,Banners were
1640,in 1673
1641,'s bureaucracy
1642,an end
1643,rule saw
1644,Opium War
1645,", when"
1646,Ming dynasty
1647,Great Game
1648,contenders for
1649,as the
1650,the Yongying
1651,the imperial
1652,forces were
1653,the humiliated
1654,sent Han
1655,by Qianlong
1656,of the
1657,force became
1658,'s economy
1659,", Britain"
1660,might have
1661,later proceeded
1662,Banners were
1663,came to
1664,Qianlong Emperor
1665,Emperor also
1666,total of
1667,"statute ,"
1668,'s bureaucracy
1669,came to
1670,", his"
1671,were organized
1672,Jurchens had
1673,empire expanded
1674,are sometimes
1675,originally part
1676,might have
1677,of Shimonoseki
1678,turned to
1679,defected Ming
1680,came to
1681,the imperial
1682,Shidan written
1683,outbreak of
1684,Emperor sponsored
1685,Banners were
1686,", France"
1687,may have
1688,himself the
1689,Army was
1690,First Sino-Japanese
1691,", British"
1692,equated the
1693,in Qianlong
1694,controversial July
1695,", the"
1696,Tongzhi Emperor
1697,were collectively
1698,Ming capital
1699,was founded
1700,", pro-Japanese"
1701,of cooperation
1702,court sent
1703,Dorgon allied
1704,brought the
1705,Tongzhi Emperor
1706,broadened land
1707,long reign
1708,Dorgon allied
1709,too few
1710,turned to
1711,Banners were
1712,early 20th
1713,of Kangxi
1714,Tongzhi Emperor
1715,Emperor also
1716,of these
1717,these clans
1718,came to
1719,", when"
1720,made up
1721,start of
1722,eventually killed
1723,Hong Taiji
1724,Emperor sponsored
1725,Emperor was
1726,Shidan written
1727,the LEAA
1728,study found
1729,time (
1730,the opposition
1731,uses similar
1732,Canadian location
1733,tended to
1734,a few
1735,resetting all
1736,of time
1737,TZ value
1738,nominal time
1739,three-year trial
1740,", when"
1741,George Hudson
1742,Microsoft hinted
1743,are another
1744,cases only
1745,the same
1746,are sensitive
1747,", after"
1748,regions with
1749,also lists
1750,tended to
1751,"misconception ,"
1752,systems the
1753,", Daylight"
1754,countries do
1755,American mnemonic
1756,a German
1757,potential to
1758,DOE report
1759,forward benefits
1760,"past ,"
1761,early proponents
1762,Pigmentosa Foundation
1763,", Willett"
1764,was more
1765,goal of
1766,Austria-Hungary organized
1767,work across
1768,"98 ,"
1769,strategy to
1770,China ;
1771,"mid-1980s ,"
1772,George Hudson
1773,Although daylight
1774,time (
1775,United Kingdom
1776,sunlight exposure
1777,adverse effect
1778,argued that
1779,credit DST
1780,of Willett
1781,North America
1782,used rules
1783,with fixed
1784,northeast India
1785,", Willett"
1786,resetting all
1787,of those
1788,", an"
1789,sun-exposure guidelines
1790,goal of
1791,widely adopted
1792,Time (
1793,", the"
1794,with fixed
1795,", Unix-based"
1796,a German
1797,Muslim countries
1798,have suggested
1799,the LEAA
1800,because the
1801,"2011 ,"
1802,also of
1803,few US
1804,commonly not
1805,North America
1806,he presented
1807,file system
1808,also of
1809,difference between
1810,"retailing ,"
1811,observe it
1812,display of
1813,study estimated
1814,countries do
1815,", a"
1816,was taken
1817,and manufacturing
1818,Time (
1819,tended to
1820,standardize on
1821,goal of
1822,why farmers
1823,northeast India
1824,regions with
1825,"mid-1980s ,"
1826,of local
1827,", the"
1828,stripped-down systems
1829,", Israel"
1830,North America
1831,at least
1832,to dislike
1833,", Spain"
1834,of time
1835,widely adopted
1836,", Willett"
1837,has been
1838,cases only
1839,display of
1840,time (
1841,Kingdom and
1842,satire proposed
1843,of those
1844,is greatly
1845,times of
1846,", Fortune"
1847,may adopt
1848,countries do
1849,Muslim countries
1850,Swedish study
1851,remember to
1852,standardize on
1853,April 2010
1854,DOE report
1855,problems could
1856,US study
1857,", Spain"
1858,of time
1859,have caused
1860,", Unix-based"
1861,several problems
1862,time as
1863,countries do
1864,was even
1865,TZ value
1866,accidents do
1867,autumn transition
1868,tasks include
1869,"misconception ,"
1870,is greatly
1871,George Hudson
1872,", Roman"
1873,Union shifts
1874,the NTFS
1875,Canadian location
1876,US change
1877,", Willett"
1878,help in
1879,", the"
1880,"1965 ,"
1881,"countries ,"
1882,Fighters continued
1883,following year
1884,band Steel
1885,include Link
1886,began to
1887,Nazareth released
